               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,             0.02806,            0.010969,            0.023056,             0.40873,             0.61868,             0.47852,             0.33769,            0.024856,           0.0041718,            0.019587,             0.00568,             0.00568,             0.00568
                  74,            0.028309,            0.011442,            0.021785,             0.44842,             0.70532,             0.58098,             0.42385,            0.023414,           0.0040494,            0.017545,             0.00562,             0.00562,             0.00562
                  75,            0.027576,            0.011888,            0.023074,             0.41587,             0.67478,             0.57851,             0.42194,            0.023944,           0.0041332,            0.017456,             0.00556,             0.00556,             0.00556
                  76,             0.02875,            0.010867,            0.021485,             0.46757,             0.68676,             0.59464,             0.43723,             0.02526,           0.0040387,            0.017713,              0.0055,              0.0055,              0.0055
                  77,            0.028137,            0.011571,            0.020818,              0.4221,             0.77186,             0.59262,             0.43491,              0.0259,           0.0040602,            0.018455,             0.00544,             0.00544,             0.00544
                  78,            0.029165,            0.010592,            0.021611,             0.42696,             0.71747,             0.57767,             0.43457,             0.02406,           0.0039287,            0.017373,             0.00538,             0.00538,             0.00538
                  79,            0.028438,            0.011674,            0.020986,             0.43589,             0.71712,              0.5935,             0.44427,            0.026026,           0.0039072,            0.018295,             0.00532,             0.00532,             0.00532
                  80,            0.027381,            0.011393,            0.021814,             0.45437,             0.77141,             0.57739,             0.43504,              0.0241,           0.0039961,            0.017647,             0.00526,             0.00526,             0.00526
                  81,            0.027588,            0.011842,            0.021472,             0.47647,             0.67728,             0.59495,             0.42948,            0.024557,           0.0039481,            0.018646,              0.0052,              0.0052,              0.0052
                  82,            0.027581,            0.011223,            0.020774,             0.46225,             0.74291,             0.62221,             0.46242,            0.025121,           0.0039488,            0.019735,             0.00514,             0.00514,             0.00514
                  83,            0.027804,            0.010785,            0.021222,             0.51906,             0.77103,             0.63082,             0.46465,            0.026601,           0.0040521,            0.018564,             0.00508,             0.00508,             0.00508
                  84,            0.028855,            0.011451,            0.020692,             0.51071,             0.74586,             0.62805,             0.45409,              0.0245,           0.0039519,            0.017408,             0.00502,             0.00502,             0.00502
                  85,            0.028624,            0.011431,            0.021172,             0.47677,             0.78501,             0.61706,             0.47383,            0.024465,           0.0042133,            0.017637,             0.00496,             0.00496,             0.00496
                  86,             0.02744,            0.010545,            0.020527,             0.45857,             0.74584,              0.6118,             0.45583,            0.024921,           0.0042395,            0.017039,              0.0049,              0.0049,              0.0049
                  87,            0.027377,            0.010944,            0.020485,             0.46288,             0.72464,             0.63735,             0.47146,            0.026123,           0.0040643,            0.018091,             0.00484,             0.00484,             0.00484
                  88,            0.027352,            0.010989,             0.01977,             0.42526,              0.8073,             0.54105,             0.37762,            0.025478,           0.0041138,             0.01722,             0.00478,             0.00478,             0.00478
                  89,            0.028184,             0.01123,            0.019772,             0.44496,             0.74492,             0.61377,             0.46662,              0.0245,           0.0039376,            0.017067,             0.00472,             0.00472,             0.00472
                  90,            0.027137,            0.011014,            0.020649,             0.45113,             0.76424,             0.62524,              0.4647,            0.024381,           0.0040806,            0.017866,             0.00466,             0.00466,             0.00466
                  91,            0.026495,            0.010691,            0.020232,             0.45368,             0.75628,             0.60171,             0.45135,            0.025546,           0.0040918,             0.01827,              0.0046,              0.0046,              0.0046
                  92,            0.026266,             0.01095,            0.019885,             0.47071,             0.71282,             0.62173,             0.46291,            0.025799,           0.0039941,            0.018435,             0.00454,             0.00454,             0.00454
                  93,            0.027231,            0.010696,            0.019461,             0.48814,             0.72483,             0.61596,             0.45378,            0.025085,           0.0040508,            0.018024,             0.00448,             0.00448,             0.00448
                  94,            0.026948,            0.010771,             0.01917,             0.46702,             0.72946,             0.58904,             0.43779,            0.024068,           0.0044843,            0.017827,             0.00442,             0.00442,             0.00442
                  95,            0.025197,            0.010965,            0.019243,             0.48196,             0.75913,             0.61829,             0.46294,            0.023879,           0.0042185,            0.017011,             0.00436,             0.00436,             0.00436
                  96,            0.026429,            0.010795,            0.019146,             0.48754,             0.72897,             0.64465,             0.47309,            0.024072,           0.0040973,            0.016205,              0.0043,              0.0043,              0.0043
                  97,            0.026695,             0.01099,            0.018287,             0.50969,             0.68219,             0.64352,             0.48916,            0.024091,           0.0039885,            0.017723,             0.00424,             0.00424,             0.00424
                  98,            0.026389,            0.010651,            0.018809,             0.43778,             0.72433,             0.61397,             0.45548,            0.023676,           0.0041886,            0.019154,             0.00418,             0.00418,             0.00418
                  99,            0.027084,             0.01107,            0.019585,             0.45069,             0.69807,             0.61493,             0.45761,            0.024546,           0.0042376,            0.019032,             0.00412,             0.00412,             0.00412
                 100,             0.02678,            0.010592,            0.018938,             0.45821,             0.72961,             0.61996,             0.46312,            0.025114,            0.004066,            0.018108,             0.00406,             0.00406,             0.00406
                 101,            0.026937,            0.011101,            0.017157,             0.50075,             0.72782,             0.63654,             0.47549,            0.025008,           0.0040875,            0.018041,               0.004,               0.004,               0.004
                 102,            0.027319,            0.010633,            0.018252,             0.45891,             0.72942,             0.62361,             0.47215,            0.024794,            0.004267,            0.018075,             0.00394,             0.00394,             0.00394
                 103,            0.028179,            0.011249,             0.01879,             0.44176,             0.77122,             0.61942,             0.47176,            0.025808,           0.0040864,            0.018896,             0.00388,             0.00388,             0.00388
                 104,            0.027236,            0.010913,            0.018691,             0.51093,             0.76174,             0.64351,             0.48186,            0.025346,           0.0042423,            0.016807,             0.00382,             0.00382,             0.00382
                 105,            0.025331,             0.01066,            0.017302,             0.54243,             0.73943,             0.65353,             0.49435,            0.024607,           0.0042128,            0.016841,             0.00376,             0.00376,             0.00376
